A,B,C,D
1,25,-3.84,433.11
2,34,6.34,604.17
3,26,16.32,452.01
4,16,26.33,262.19
5,18,36.31,300.36
6,9,46.26,129.02
7,14,56.17,224.13
8,36,66.1,642.3
9,23,76.14,395.29
10,13,86.22,205.19
11,1,96.08,-22.63
12,6,106.34,72.26
13,26,116.12,452.2
14,29,126.2,509.07
15,2,135.98,-3.68
16,33,145.99,585.2
17,37,156.13,661.31
18,12,166.02,186.35
19,36,176.25,642.03
20,20,186.3,338.28
21,1,196.23,-22.7
22,1,206.3,-22.82
23,21,216.08,357.32
24,35,226.37,623.14
25,4,236.32,34.06
26,30,246.25,528.07
27,4,256.14,34.23
28,37,266.19,661.19
29,27,276.15,471.06
30,24,286.35,413.99
31,14,296.37,224.24
32,38,306.3,680.08
33,18,316.03,300.18
34,12,325.98,186.1
35,20,336.34,338.04
36,28,346.24,490.23
37,30,356.28,527.99
38,15,366.17,243.12
39,36,376.36,642.3
40,36,386.21,642.19
41,29,396.35,509.1
42,8,406.34,110.34
43,18,416.04,299.99
44,31,426.09,546.99
45,3,436.29,15.27
46,1,446.1,-22.87
47,26,456,452.35
48,19,466.15,319.15
49,34,476.03,604.13
50,18,486.31,300.36
51,31,496.13,547.26
52,4,506.13,34.14
53,0,516.31,-41.88
54,2,526.14,-3.77
55,35,536.17,623.15
56,25,546.18,433.27
57,0,556.04,-41.71
58,38,566.16,679.98
59,7,576.1,91.35
60,22,586.2,376.2
61,13,596.11,205.35
62,33,606.15,585.1
63,1,616.08,-22.64
64,15,626.1,243.12
65,1,636.05,-22.68
66,10,646.22,148.04
67,39,656.23,699.03
68,22,666.13,376.21
69,22,676.2,376.25
70,11,686.34,167.07
71,33,695.99,585.12
72,23,706.24,395.22
73,35,716.25,623.32
74,33,726.01,585.36
75,0,736.34,-41.65
76,26,746.04,452.2
77,32,756.03,566.37
78,37,766.17,661.12
79,12,776.31,186.26
80,39,786.02,699.14
81,0,796.27,-41.92
82,15,806.1,243.34
83,31,816.06,547.14
84,25,826.31,433.17
85,23,836.31,395.05
86,20,846.09,338.11
87,34,856.02,604.08
88,33,866.31,585.27
89,7,876.04,91.2
90,27,886.35,471.16
91,36,896.28,642.05
92,6,906.35,72.18
93,2,916.26,-3.82
94,18,926.11,300.03
95,29,936.26,509.37
96,36,945.98,642
97,1,956.33,-22.64
98,11,966.26,167.3
99,32,976.26,566.28
100,6,986.05,72.17
